description;icao;iata;latitude_deg;longitude_deg
Karasburg Airport;FYKB;KAS;-280.297;187.385
Katima Mulilo Airport;FYKM;MPA;-17.634.399.414.100.000;24.176.700.592
Keetmanshoop Airport;FYKT;KMP;-265.398.006.439.209;18.111.400.604.248.000
Lianshulu Airport;FYLS;LHU;-18.116.699.218.799.900;23.393.299.102.800.000
Luderitz Airport;FYLZ;LUD;-26.687.400.817.871.000;15.242.899.894.714.300
Mount Etjo Airport;FYME;MJO;-210.233.001.709;164.528.007.507
Midgard Airport;FYMG;MQG;-220.106;17.37
Mokuti Lodge Airport;FYMO;OKU;-1.881.279.945.373.530;1.705.940.055.847.160
Namutoni Airport;FYNA;NNI;-188.064;169.272
Ondangwa Airport;FYOA;OND;-17.878.201;159.526
Omega Airport;FYOE;OMG;-180.303;22.189.699
Oranjemund Airport;FYOG;OMD;-28.584.699.630.737.300;16.446.699.142.456.000
Okaukuejo Airport;FYOO;OKF;-19.149.200.439.453.100;1.591.189.956.665.030
Opuwa Airport;FYOP;OPW;-18.061.424;1.385.047
Oshakati Airport;FYOS;OHI;-17.797;156.993
Otjiwarongo Airport;FYOW;OTJ;-20.434.700.012.207;16.660.800.933.838
Rundu Airport;FYRU;NDU;-17.956.499.099.731;19.719.400.405.884
Skorpion Mine Airport;FYSA;RHN;-278.763.999.939;166.478.004.456
Swakopmund Airport;FYSM;SWP;-2.266.189.956.665;14.568.099.975.586
Sesriem Airstrip;FYSS;SZM;-24.512.800.216.675;15.746.700.286.865
Terrace Bay Airport;FYTE;TCY;-199.713;130.249
Tsumeb Airport;FYTM;TSB;-1.926.189.994.812;17.732.500.076.294
Walvis Bay Airport;FYWB;WVB;-22.979.900.360.107.400;14.645.299.911.499.000
Eros Airport;FYWE;ERS;-22.612.199.783.325.100;17.080.400.466.918.900
Hosea Kutako International Airport;FYWH;WDH;-224.799;174.709
Ndjili International Airport;FZAA;FIH;-438.574.981.689;154.446.001.053
Ndolo Airport;FZAB;NLO;-432.666.015.625;15.327.500.343.323
Muanda Airport;FZAG;MNB;-59.308.600.425.720.200;12.351.799.964.904.700
Boma Airport;FZAJ;BOA;-5.854.000.091.552.730;13.064.000.129.699.700
Luozi Airport;FZAL;LZI;-4.949.999.809.265.130;14.133.000.373.840.300
Tshimpi Airport;FZAM;MAT;-5.799.610.137.939.450;13.440.400.123.596.100
N'Kolo-Fuma Airport;FZAR;NKL;-5.421;148.169
Inongo Airport;FZBA;INO;-1.947.219.967.842.100;1.828.580.093.383.780
Nioki Airport;FZBI;NIO;-27.174.999.713.897.700;1.768.470.001.220.700
Bandundu Airport;FZBO;FDU;-33.113.200.664.520.200;1.738.170.051.574.700
Basango Mboliasa Airport;FZBT;KRZ;-1.434.999.942.779.540;1.902.400.016.784.660
Kikwit Airport;FZCA;KKW;-5.035.769.939.422.600;18.785.600.662.231.400
Idiofa Airport;FZCB;IDF;-5;19.600.000.381.469.700
Lusanga Airport;FZCE;LUS;-4.800.000.190.734.860;18.716.999.053.955.000
Masi Manimba Airport;FZCV;MSM;-47.829.999.923.706.000;17.850.000.381.469.700
Mbandaka Airport;FZEA;MDK;0.0226000007242;182.887.001.038
Basankusu Airport;FZEN;BSU;12.247.200.012.207.000;1.978.890.037.536.620
Libenge Airport;FZFA;LIE;3.632.999.897.003.170;18.632.999.420.166.000
Gbadolite Airport;FZFD;BDT;4.253.210.067.749.020;20.975.299.835.205.000
Gemena Airport;FZFK;GMA;32.353.699.207.299.900;19.771.299.362.199.900
Kotakoli Airport;FZFP;KLI;4.157.639.980.316.160;2.165.089.988.708.490
Bumbar Airport;FZFU;BMB;21.827.800.273.895.200;22.481.700.897.216.700
Lisala Airport;FZGA;LIQ;21.706.600.189.208.900;2.149.690.055.847.160
Boende Airport;FZGN;BNB;-0.21699999272823334;20.850.000.381.469.700
Ikela Airport;FZGV;IKL;-1.048.109;23.372.501
Bangoka International Airport;FZIC;FKI;0.481638997793;253.379.993.439
Yangambi Airport;FZIR;YAN;0.7829999923706055;24.466.999.053.955.000
Matari Airport;FZJH;IRP;28.276.100.158.691.400;27.588.300.704.956.000
Bunia Airport;FZKA;BUX;15.657.199.621.200.500;30.220.800.399.780.200
Buta Zega Airport;FZKJ;BZU;2.818.350.076.675.410;24.793.699.264.526.300
Bukavu Kavumu Airport;FZMA;BKY;-23.089.799.880.981.400;28.808.799.743.652.300
Rughenda Airfield;FZMB;RUE;0.117142;29.312.992
Goma International Airport;FZNA;GOM;-16.708.099.842.071.500;29.238.500.595.092.700
Beni Airport;FZNP;BNC;0.574999988079071;29.473.899.841.308.500
Kindu Airport;FZOA;KND;-291.917.991.638;25.915.399.551.399.900
Kinkungwa Airport;FZOD;KLY;-2.578.000.068.664.550;26.733.999.252.319.300
Punia Airport;FZOP;PUN;-13.669.999.837.875.300;2.633.300.018.310.540
Lubumbashi International Airport;FZQA;FBM;-115.913.000.107;275.308.990.479
Pweto Airport;FZQC;PWO;-8.467.000.007.629.390;28.882.999.420.166.000
Kasenga Airport;FZQG;KEC;-10.350.000.381.469.700;28.632.999.420.166.000
Kolwezi Airport;FZQM;KWZ;-10.765.899.658.203.100;25.505.699.157.714.800
Manono Airport;FZRA;MNO;-72.888.898.849.487.300;27.394.399.642.944.300
Moba Airport;FZRB;BDV;-7.066.999.912.261.960;29.783.000.946.044.900
Kalemie Airport;FZRF;FMI;-58.755.598.068.237.300;29.25
Kabalo Airport;FZRM;KBO;-6.083.000.183.105.460;2.691.699.981.689.450
Kongolo Airport;FZRQ;KOO;-5.394.440.174.102.780;26.989.999.771.118.100
Kamina Base Airport;FZSA;KMN;-8.642.020.225.524.900;25.252.899.169.921.800
Kapanga Airport;FZSK;KAP;-8.350.000.381.469.720;2.258.300.018.310.540
Kaniama Airport;FZTK;KNM;-7.583.000.183.105.460;24.149.999.618.530.200
Kananga Airport;FZUA;KGA;-590.005.016.327;224.692.001.343
Luiza Airport;FZUG;LZA;-7.183.000.087.738.030;22.399.999.618.530.200
Tshikapa Airport;FZUK;TSH;-6.438.330.173.492.430;20.794.700.622.558.500
Lodja Airport;FZVA;LJA;-34.170.000.553.131.100;23.450.000.762.939.400
Lusambo Airport;FZVI;LBO;-4.961.669.921.875;23.378.299.713.134.700
Mweka Airport;FZVM;MEW;-4.849.999.904.632.560;21.549.999.237.060.500
Basongo Airport;FZVR;BAN;-4.315.802;20.414.891
Ilebo Airport;FZVS;PFR;-4.329.919;20.590.124
Mbuji Mayi Airport;FZWA;MJM;-6.121.240.139.010.000;23.569.000.244.099.900
Gandajika Airport;FZWC;GDJ;-6.732.999.801.635.740;23.950.000.762.939.400
Tunta Airport;FZWT;KBN;-6.132.999.897;244.829.998.016
Akieni Airport;GA-AKE;AKE;-113.967.001.438;139.035.997.391
Gamba Airport;GA-GAX;GAX;-271.016.001.701.355;9.960.619.926.452.630
Gabbs Airport;GAB;GAB;38.924.098.968.500.000;-117.958.999.634
Senou Airport;GABS;BKO;12.533.499.717.712.400;-7.949.940.204.620.360
Goundam Airport;GAGM;GUD;16.361.400.604.248.000;-3.599.720.001.220.700
Gao Airport;GAGO;GAQ;1.624.839.973.449.700;-0.005456000100821257
Kenieba Airport;GAKA;KNZ;12.833.000.183.105.400;-11.25
Koutiala Airport;GAKO;KTX;12.383.000.373.840.300;-54.670.000.076.293.900
Kayes Dag Dag Airport;GAKY;KYS;14.481.200.218.200.600;-11.404.399.871.826.100
Mopti Airport;GAMB;MZI;145.128.002.167;-40.795.598.030.099.900
Nara Airport;GANK;NRM;15.217.000.007.629.300;-7.267.000.198.364.250
Nioro du Sahel Airport;GANR;NIX;15.238.100.051.879.800;-9.576.109.886.169.430
Sikasso Airport;GASK;KSS;11.333.000.183.105.400;-5.699.999.809.265.130
Timbuktu Airport;GATB;TOM;16.730.499.267.578.100;-3.007.580.041.885.370
Yélimané Airport;GAYE;EYL;15.133.000.373.840.300;-10.567.000.389.099.100
Guasopa Airport;GAZ;GAZ;-9.225.918;152.944.352
Hoy/Longhope Airfield;GB-0070;HOY;58.791.779;-3.216.076
Dornoch Airfield;GB-DOC;DOC;57.868.999;-4.023
Flotta Isle Airport;GB-FLH;FLH;58.825.801.849.365;-31.427.800.655.365
Foula Airport;GB-FOA;FOA;60.121.725;-2.053.202
Outer Skerries Airport;GB-OUK;OUK;604.252;-0.75
Papa Stour Airport;GB-PSV;PSV;60.321.701.049.805;-16.930.600.404.739
Garbaharey Airport;GBM;GBM;332.294;4.221.309
Banjul International Airport;GBYD;BJL;13.338.000.297.546.300;-1.665.220.069.885.250
Fuerteventura Airport;GCFV;FUE;28.452.699.661.254.800;-13.863.800.048.828.100
La Gomera Airport;GCGM;GMZ;28.029.600.143.432.600;-17.214.599.609.375
Hierro Airport;GCHI;VDE;27.814.800.262.451.100;-17.887.100.219.726.500
La Palma Airport;GCLA;SPC;2.862.649.917.602.530;-17.755.599.975.585.900
Gran Canaria Airport;GCLP;LPA;27.931.900.024.414.000;-1.538.659.954.071.040
Lanzarote Airport;GCRR;ACE;28.945.499.420.166.000;-13.605.199.813.842.700
Tenerife South Airport;GCTS;TFS;28.044.500.351;-165.725.002.289
Gravatai Airport;GCV;GCV;-299.494;-5.098.505
Tenerife Norte Airport;GCXO;TFN;284.827.003.479;-163.414.993.286
Ceuta Heliport;GECE;JCU;35.892.799.377.441.400;-5.306.389.808.654.780
Melilla Airport;GEML;MLN;35.279.800.415;-29.562.599.659
Gewoia Airport;GEW;GEW;-92.263;1.484.949
Sherbro International Airport;GFBN;BTE;75.324.201.583.862.300;-12.518.899.917.602.500
Bo Airport;GFBO;KBS;7.944.399.833.679.190;-1.176.099.967.956.540
Pope Field;GFD;GFD;39.790.298.461.899.900;-857.360.992.432
Gbangbatok Airport;GFGK;GBK;7.767.000.198.364.250;-12.383.000.373.840.300
Hastings Airport;GFHA;HGS;8.397.130.012.512.200;-1.312.909.984.588.620
Kabala Airport;GFKB;KBA;9.638.322.913.429.990;-115.155.601.501
Kenema Airport;GFKE;KEN;7.891.290.187.835.690;-11.176.600.456.237.700
Lungi International Airport;GFLL;FNA;8.616.439.819.335.930;-13.195.500.373.840.300
Yengema Airport;GFYE;WYE;8.610.469.818.115.230;-1.104.539.966.583.250
Bubaque Airport;GGBU;BQE;11.297.355.651.855.400;-15.838.079.452.514.600
Osvaldo Vieira International Airport;GGOV;OXB;11.894.800.186.157.200;-1.565.369.987.487.790
Garachiné Airport;GHE;GHE;80.644;-783.673
Groennedal Heliport;GL-JGR;JGR;61.233.299;-48.099.998
Akunaq Heliport;GL-QCU;QCU;687.442.728.315;-52.340.369.224.499.900
Buchanan Airport;GLBU;UCN;516.765.022.277.832;-9.283.470.153.808.590
Cape Palmas Airport;GLCP;CPA;43.790.202.140.808.100;-76.969.499.588.012.600
Greenville Sinoe Airport;GLGE;SNI;50.343.098.640.441.800;-9.066.800.117.492.670
Lamco Airport;GLLB;UCN;5.867.000.102.996.820;-10.050.000.190.734.800
Spriggs Payne Airport;GLMR;MLW;6.289.060.115.814.200;-10.758.700.370.788.500
Nimba Airport;GLNA;NIA;7.5;-8.600.000.381.469.720
Gulgubip Airport;GLP;GLP;-52.808;1.415.411
Roberts International Airport;GLRB;ROB;6.233.789.920.806.880;-10.362.299.919.128.400
Sasstown Airport;GLST;SAZ;46.666.669.845.581.000;-8.433.333.396.911.620
Tchien Airport;GLTN;THC;6.045.650.482.177.730;-8.138.723.373.413.080
Voinjama Airport;GLVA;VOI;8.399.999.618.530.270;-9.767.000.198.364.250
Al Massira Airport;GMAD;AGA;30.325.000.762.939.400;-9.413.069.725.036.620
Tan Tan Airport;GMAT;TTA;28.448.200.225.830.000;-11.161.299.705.505.300
Zagora Airport;GMAZ;OZG;303.202.991.486;-586.667.013.168
Bouarfa Airport;GMFB;UAR;325.143.055.556;-198.305.555.556
Saïss Airport;GMFF;FEZ;339.272.994.995;-4.977.960.109.709.990
Moulay Ali Cherif Airport;GMFK;ERH;319.475.002.289;-439.833.021.164
Bassatine Airport;GMFM;MEK;3.387.910.079.956.050;-5.515.120.029.449.460
Angads Airport;GMFO;OUD;34.787.200.927.734.300;-192.399.001.121.521
Smara Airport;GMMA;SMW;267.318;-116.847
Ben Slimane Airport;GMMB;GMD;33.655.399.322.499.900;-7.221.449.851.990.000
Anfa Airport;GMMC;CAS;335.532.989.502;-7.661.389.827.730.000
Rabat-Salé Airport;GMME;RBA;3.405.149.841.308.590;-6.751.520.156.860.350
Sidi Ifni Xx Airport;GMMF;SII;2.936.669.921.875;-10.187.800.407.409.600
Dakhla Airport;GMMH;VIL;237.183;-15.932
Mogador Airport;GMMI;ESU;313.974.990.845;-96.816.701.889
Hassan I Airport;GMML;EUN;27.151.699;-132.192
Mohammed V International Airport;GMMN;CMN;3.336.750.030.517.570;-7.589.970.111.846.920
Safi Airport;GMMS;SFI;3.228.329.849.243.160;-9.233.329.772.949.210
Nador International Airport;GMMW;NDR;34.988.800.048.799.900;-30.282.099.247
Menara Airport;GMMX;RAK;31.606.899.261.499.900;-803.629.970.551
Kenitra Airport;GMMY;NNA;3.429.890.060.424.800;-6.595.880.031.585.690
Ouarzazate Airport;GMMZ;OZZ;309.391.002.655;-6.909.430.027.010.000
Golog Maqin Airport;GMQ;GMQ;34.418.066;100.301.144
Cherif Al Idrissi Airport;GMTA;AHU;35.177.101.135.253.900;-383.951.997.756.958
Saniat R'mel Airport;GMTN;TTU;35.594.299.316.406;-5.320.020.198.822
Ibn Batouta Airport;GMTT;TNG;35.726.898.193.400.000;-591.689.014.435
Goodnews Airport;GNU;GNU;59.117.401.123;-16.157.699.585
Gora Airstrip;GOC;GOC;-90.021;1.482.364
Kolda North Airport;GODK;KDA;12.898.500.442.504.800;-14.968.099.594.116.200
Ziguinchor Airport;GOGG;ZIG;125.556;-16.281.799
Cap Skirring Airport;GOGS;CSK;1.239.533;-16.748
Kaolack Airport;GOOK;KLC;14.146.900.177.001.900;-16.051.300.048.828.100
Léopold Sédar Senghor International Airport;GOOY;DKR;14.739.700.317.382.800;-1.749.020.004.272.460
Ouro Sogui Airport;GOSM;MAX;15.593.600.273.132.300;-13.322.799.682.617.100
Podor Airport;GOSP;POD;16.683.000.564.575.100;-14.967.000.007.629.300
Richard Toll Airport;GOSR;RDT;16.433.000.564.575.100;-15.649.999.618.530.200
Saint Louis Airport;GOSS;XLS;16.050.800.323.486.300;-16.463.199.615.478.500
Bakel Airport;GOTB;BXE;14.847.299.575.805.600;-12.468.299.865.722.600
Kédougou Airport;GOTK;KGG;1.257.229.995.727.530;-1.222.029.972.076.410
Simenti Airport;GOTS;SMY;13.046.799.659.729.000;-1.329.539.966.583.250
Tambacounda Airport;GOTT;TUD;13.736.800.193.786.600;-1.365.310.001.373.290
Aioun el Atrouss Airport;GQNA;AEO;16.711.299.896.240.200;-9.637.880.325.317.380
Boutilimit Airport;GQNB;OTL;17.533.000.946.044.900;-14.682.999.610.900.800
Tichitt Airport;GQNC;THI;18.450.000.762.939.400;-9.517.000.198.364.250
Tidjikja Airport;GQND;TIY;18.570.100.784.301.700;-11.423.500.061.035.100
Abbaye Airport;GQNE;BGH;1.663.331.413.269.040;-14.200.000.762.939.400
Kiffa Airport;GQNF;KFA;1.659.000.015.258.780;-11.406.200.408.935.500
Timbedra Airport;GQNH;TMD;16.232.999.801.635.700;-8.166.999.816.894.530
Néma Airport;GQNI;EMN;16.621.999.740.600.500;-73.165.998.458.862.300
Akjoujt Airport;GQNJ;AJJ;19.733.016.967.773.400;-14.383.249.282.836.900
Kaédi Airport;GQNK;KED;16.159.500.122.070.300;-13.507.599.830.627.400
Letfotar Airport;GQNL;MOM;17.75;-12.5
Nouakchott–Oumtounsy International Airport;GQNO;NKC;18.31;-159.697.222
Sélibaby Airport;GQNS;SEY;15.179.699.897.766.100;-12.207.300.186.157.200
Tamchakett Airport;GQNT;THT;17.232.999.801.635.700;-10.817.000.389.099.100
Atar International Airport;GQPA;ATR;20.506.799.697.875.900;-1.304.319.953.918.450
Fderik Airport;GQPF;FGD;2.266.699.981.689.450;-12.732.999.801.635.700
Nouadhibou International Airport;GQPP;NDB;209.330.997.467.041;-17.030.000.686.645.500
Tazadit Airport;GQPZ;OUZ;22.756.399.154.663.000;-12.483.599.662.780.700
Grand Cess Airport;GRC;GRC;4.571;-82.076
Garuahi Airport;GRH;GRH;-10.225.149;150.487.667
Granite Mountain Air Station;GSZ;GMT;6.540.209.961;-1.612.810.059
Chiquimula Airport;GT-0001;CIQ;1.483.092;-89.520.938
Dos Lagunas Airport;GT-0002;DON;176.124.000.549;-896.884.002.686
El Naranjo Airport;GT-0003;ENJ;14.106.931;-90.817.496
Paso Caballos Airport;GT-0004;PCG;172.639.007.568;-9.025.630.187.990.000
El Petén Airport;GT-0006;TKM;17.226.388.931.274.400;-896.050.033.569.336
Uaxactun Airport;GT-0007;UAX;173.938.884.735;-8.963.274.383.539.990
Playa Grande Airport;GT-PKJ;PKJ;15.997.500.419.600.000;-9.074.169.921.880.000
Kirawira B Aerodrome;GTZ;GTZ;-2.160.833;34.225.556
Conakry International Airport;GUCY;CKY;957.689;-13.612
Guriaso (Keraso) Airport;GUE;GUE;-3.583.167;1.415.895
Fria Airport;GUFA;FIG;10.350.600.242.615;-13.569.199.562.073
Faranah Airport;GUFH;FAA;100.354.995.728;-107.698.001.862
Kissidougou Airport;GUKU;KSI;91.605.596.542.358;-10.124.400.138.855
Tata Airport;GULB;LEK;11.326.100.349.426;-12.286.800.384.521
Macenta Airport;GUMA;MCA;8.481.857;-9.525.071
Nzérékoré Airport;GUNZ;NZE;78.060.193.061.829;-87.017.974.853.516
Boké Baralande Airport;GUOK;BKJ;109.658;-142.811
Sambailo Airport;GUSB;SBI;12.572.699.546.814;-13.358.499.526.978
Siguiri Airport;GUSI;GII;11.432.999.610.901;-91.669.998.168.945
Kankan Airport;GUXN;KNN;10.394.000.053.406;-93.037.996.292.114
Amílcar Cabral International Airport;GVAC;SID;1.674.139.976.501.460;-22.949.399.948.120.100
Agostinho Neto Airport;GVAN;NTO;17.202.800.750.732.400;-25.090.599.060.058.500
Rabil Airport;GVBA;BVC;16.136.499.404.907.200;-22.888.900.756.835.900
Gordonsville Municipal Airport;GVE;GVE;3.815.599.823;-78.165.802.002
Maio Airport;GVMA;MMO;15.155.900.001.525.800;-23.213.699.340.820.300
Mosteiros Airport;GVMT;MTI;15.045.000.076.293.900;-2.433.919.906.616.210
Praia International Airport;GVNP;RAI;14.924.500.465.393.000;-23.493.499.755.859.300
São Filipe Airport;GVSF;SFL;148.850.002.289;-244.799.995.422
Preguiça Airport;GVSN;SNE;1.658.839.988.708.490;-24.284.700.393.676.700
São Pedro Airport;GVSV;VXE;16.833.200.454.711.900;-25.055.299.758.911.100
Gnarowein Airport;GWN;GWN;-6.555;146.248
Gatow Airport;GWW;GWW;52.474.399.566.699.900;131.380.996.704
Bemichi Airport;GY-BCG;BCG;76.999.998.092.699.900;-591.666.603.088
Botopasi Airport;GY-BTO;BTO;421.751.109.352;-554.470.539.093
Djumu-Djomoe Airport;GY-DOE;DOE;400.571.261.057;-554.816.436.768
Ladouanie Airport;GY-LDO;LDO;437.610.828.345;-55.407.056.808.499.900
Washabo Airport;GY-WSO;WSO;52.501.502.037.000.000;-571.738.014.221
Addis Ababa Bole International Airport;HAAB;ADD;897.789.001.465;38.799.301.147.499.900
Arba Minch Airport;HAAM;AMH;60.393.900.871.276.800;3.759.049.987.792.960
Axum Airport;HAAX;AXU;1.414.680.004.119.870;3.877.280.044.555.660
Baco Airport;HABC;BCO;578.287;36.562
Bahir Dar Airport;HABD;BJR;11.608.099.937.438.900;3.732.160.186.767.570
Beica Airport;HABE;BEI;938.638.973.236.084;3.452.190.017.700.190
Degah Bur Airport;HADB;DGC;8.234;435.673
Combolcha Airport;HADC;DSE;11.082.500.457.763.600;3.971.139.907.836.910
Dembidollo Airport;HADD;DEM;8.553.999.900.817.870;34.858.001.708.984.300
Debra Marcos Airport;HADM;DBM;10.350.000.381.469.700;3.771.699.905.395.500
Aba Tenna Dejazmach Yilma International Airport;HADR;DIR;9.624.699.592.590.330;4.185.419.845.581.050
Debre Tabor Airport;HADT;DBT;11.967.000.007.629.300;38
Fincha Airport;HAFN;FNH;9.583.000.183.105.460;37.349.998.474.121.000
Robe Airport;HAGB;GOB;71.160.634;400.463.033
Ghinnir Airport;HAGH;GNN;715.000.009.537;40.716.999.054
Gambella Airport;HAGM;GMB;812.876.033.782.959;345.630.989.074.707
Gonder Airport;HAGN;GDQ;1.251.990.032.196.040;37.433.998.107.910.100
Gode Airport;HAGO;GDE;593.513.011.932;435.786.018.372
Gore Airport;HAGR;GOR;81.614;355.529
Harar Meda Airport;HAHM;QHR;87.163;390.059
Humera Airport;HAHU;HUE;14.25;3.658.300.018.310.540
Wilwal International Airport;HAJJ;JIJ;93.325;429.121
Jimma Airport;HAJM;JIM;766.609.001.159.668;3.681.660.079.956.050
Kabri Dehar Airport;HAKD;ABK;6.734.000.205.993.650;4.425.299.835.205.070
Kelafo East Airport;HAKL;LFO;56.570.000.648.498.500;44.349.998.474.121.000
Awassa Airport;HALA;AWA;7.066.999.912.261.960;38.5
Lalibella Airport;HALL;LLI;11.975.000.381.469.700;3.897.999.954.223.630
Mekane Selam Airport;HAMA;MKS;107.254;387.415
Mekele Airport;HAMK;MQX;13.467.399.597.167.900;3.953.350.067.138.670
Metema Airport;HAMM;ETE;12.932.999.610.899.900;361.669.998.169
Mendi Airport;HAMN;NDM;9.767.000.198.364.250;35.099.998.474.121.000
Mui River Airport;HAMR;MUJ;58.646;357.485
Mizan Teferi Airport;HAMT;MTF;69.571;355.547
Negele Airport;HANG;EGL;52.897;397.023
Nejjo Airport;HANJ;NEJ;9.550.000.190.734.860;3.546.699.905.395.500
Nekemte Airport;HANK;NEK;9.050.000.190.734.860;36.599.998.474.121.000
Beles Airport;HAPW;PWI;113.126;364.164
Soddu Airport;HASD;SXU;6.816.999.912.261.960;37.75
Shakiso Airport;HASK;SKR;56.923;389.764
Semera Airport;HASM;SZE;117.875;409.915
Asosa Airport;HASO;ASO;10.018.500.328.063.900;34.586.299.896.240.200
Tippi Airport;HATP;TIE;72.024;35.415
Waca Airport;HAWC;WAC;7.166.999.816.894.530;3.716.699.981.689.450
Warder Airport;HAWR;WRA;69.724;453.334
Haycock Airport;HAY;HAY;6.520.099.639.889.990;-161.156.997.681
Hatzfeldhaven Airport;HAZ;HAZ;-44.033;1.452.056
Bujumbura International Airport;HBBA;BJM;-33.240.199.089.050.200;29.318.500.518.798.800
Gitega Airport;HBBE;GID;-3.417.209;29.911.308
Kirundo Airport;HBBO;KRE;-2.544.772;30.094.575
Hambantota Seaplane Base;HBT;HBT;6.124.043;81.103
Alula Airport;HCMA;ALU;119.582;50.748
Baidoa Airport;HCMB;BIB;3.102.220.058.441.160;4.362.860.107.421.870
Candala Airport;HCMC;CXN;11.494;499.085
Bardera Airport;HCMD;BSY;2.336.111;42.307.778
Eil Airport;HCME;HCM;8.104;49.82
Bosaso Airport;HCMF;BSA;11.275.300.025.939.900;4.914.939.880.371.090
Gardo Airport;HCMG;GSR;9.517.000.198.364.250;4.908.300.018.310.540
Egal International Airport;HCMH;HGA;9.518.170.356.750.480;4.408.879.852.294.920
Berbera Airport;HCMI;BBO;10.389.200.210.571.200;4.494.110.107.421.870
Lugh Ganane Airport;HCMJ;LGX;38.124;425.459
Kisimayu Airport;HCMK;KMU;-0.3773530125617981;4.245.920.181.274.410
Aden Adde International Airport;HCMM;MGQ;20.144.400.596.618.600;453.046.989.440.918
Obbia Airport;HCMO;CMO;5.366.666.793.823.240;48.516.666.412.353.500
Galcaio Airport;HCMR;GLK;678.082.990.646;4.745.470.047
Scusciuban Airport;HCMS;CMS;10.300.000.190.734.800;50.233.001.708.984.300
Erigavo Airport;HCMU;ERA;10.642.050.549;473.879.814.148
Burao Airport;HCMV;BUO;95.275;455.549
Garowe Airport;HCMW;GGR;8.457.942;48.567.407
Djibouti-Ambouli Airport;HDAM;JIB;11.547.300.338.745.100;4.315.950.012.207.030
Ali-Sabieh Airport;HDAS;AII;111.468.888.889;42.72
Moucha Airport;HDMO;MHI;11.716.667.175.292.900;4.320.000.076.293.940
Obock Airport;HDOB;OBC;11.967.000.007.629.300;43.266.998.291.015.600
Tadjoura Airport;HDTJ;TDJ;11.782.999.992.370.600;4.291.699.981.689.450
Siwa Oasis North Airport;HE24;SEW;29.345.500.946.044.900;2.550.670.051.574.700
El Minya Airport;HE25;EMY;281.012.992.859;30.730.300.903.299.900
Sidi Barrani Airport;HE40;SQK;31.466.600.418.091;25.878.000.259.399
El Alamein International Airport;HEAL;DBB;3.092.449.951.171.870;2.846.139.907.836.910
El Arish International Airport;HEAR;AAC;31.073.299.408;338.358.001.709
Assiut International Airport;HEAT;ATZ;270.464.992.523;310.119.991.302
El Nouzha Airport;HEAX;ALY;31.183.900.833.129.800;2.994.890.022.277.830
Borg El Arab International Airport;HEBA;HBE;30.917.699.813.842.700;29.696.399.688.720.700
Abu Simbel Airport;HEBL;ABS;22.375.999.450.699.900;31.611.700.058
Cairo International Airport;HECA;CAI;3.012.190.055.847.160;3.140.559.959.411.620
Cairo West Airport;HECW;CWE;30.116.399.765;30.915.399.551.399.900
Dakhla Airport;HEDK;DAK;2.541.160.011.291.500;2.900.309.944.152.830
Hurghada International Airport;HEGN;HRG;27.178.300.857.543.900;33.799.400.329.589.800
